                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 0.8221,                0.55446,                0.95785,                0.88609,                0.92216,                0.94797,                0.77916,                0.77239,                0.50033,                0.94507,             0.00046098,             0.00046098,             0.00046098
                     80,                0.83471,                0.56841,                0.97177,                0.92392,                0.89635,                0.95524,                0.78305,                0.75738,                 0.4982,                0.93707,             0.00045834,             0.00045834,             0.00045834
                     81,                 0.8256,                0.55647,                0.96207,                0.92411,                0.93995,                0.96014,                0.76929,                  0.785,                0.49191,                0.94698,             0.00045569,             0.00045569,             0.00045569
                     82,                0.85423,                 0.5737,                0.97388,                0.93442,                0.94034,                0.96649,                0.78569,                0.76758,                0.50203,                0.93122,             0.00045305,             0.00045305,             0.00045305
                     83,                0.82261,                0.55529,                0.95771,                0.93548,                0.92446,                0.96555,                 0.7787,                0.76934,                0.49942,                0.94089,             0.00045041,             0.00045041,             0.00045041
                     84,                0.83025,                0.55658,                0.97115,                0.93922,                0.94407,                0.97185,                0.78116,                 0.7857,                0.48419,                0.93602,             0.00044777,             0.00044777,             0.00044777
                     85,                0.81131,                0.53847,                 0.9538,                 0.9179,                0.91834,                0.95165,                0.78029,                0.78519,                0.49871,                0.93541,             0.00044513,             0.00044513,             0.00044513
                     86,                0.82403,                0.55413,                 0.9602,                0.87047,                0.91468,                0.94874,                 0.7702,                0.79275,                0.53133,                0.94213,             0.00044249,             0.00044249,             0.00044249
                     87,                0.80651,                0.54086,                0.95393,                0.91528,                0.94178,                0.96124,                0.78999,                0.73506,                 0.4753,                0.92531,             0.00043985,             0.00043985,             0.00043985
                     88,                 0.8039,                0.52894,                0.94802,                0.93164,                0.92679,                 0.9669,                0.78341,                0.77407,                0.49042,                0.93671,             0.00043721,             0.00043721,             0.00043721
                     89,                0.77831,                0.51941,                 0.9459,                 0.9315,                0.95181,                0.97268,                 0.7755,                0.79241,                0.47932,                0.92892,             0.00043456,             0.00043456,             0.00043456
                     90,                0.80787,                0.54459,                0.94882,                0.87947,                0.90107,                0.94792,                0.77437,                0.76433,                0.49635,                0.93804,             0.00043192,             0.00043192,             0.00043192
                     91,                0.81064,                0.54395,                0.96431,                0.89107,                0.95229,                0.97445,                0.79073,                0.74421,                0.48795,                0.92615,             0.00042928,             0.00042928,             0.00042928
                     92,                0.80812,                0.53831,                0.94868,                 0.9045,                0.95623,                0.96953,                0.79106,                0.74455,                0.49028,                0.92863,             0.00042664,             0.00042664,             0.00042664
                     93,                0.81145,                0.54099,                0.95385,                0.90828,                0.94883,                0.97009,                 0.7785,                 0.7765,                0.48744,                0.93174,               0.000424,               0.000424,               0.000424
                     94,                0.83703,                0.54149,                0.95877,                 0.8748,                0.91742,                0.94039,                0.76266,                0.78475,                0.49119,                0.94391,             0.00042136,             0.00042136,             0.00042136
                     95,                0.78554,                0.52251,                0.93812,                 0.9223,                0.95948,                0.96921,                 0.7858,                0.76291,                0.46211,                0.92969,             0.00041872,             0.00041872,             0.00041872
                     96,                 0.8048,                0.52485,                0.95196,                0.93101,                0.94929,                0.97067,                0.78182,                0.77311,                0.47517,                0.92767,             0.00041607,             0.00041607,             0.00041607
                     97,                 0.7946,                0.50778,                0.94647,                0.88148,                0.92684,                0.95103,                0.77856,                0.76947,                0.46267,                0.94092,             0.00041343,             0.00041343,             0.00041343
                     98,                0.80457,                0.52954,                0.95825,                0.94899,                0.93506,                0.96662,                0.79154,                0.75536,                 0.4674,                0.92489,             0.00041079,             0.00041079,             0.00041079
                     99,                0.80404,                0.52712,                0.94991,                0.88894,                0.92109,                0.94968,                0.77596,                0.80348,                0.48752,                0.94804,             0.00040815,             0.00040815,             0.00040815
                    100,                 0.7712,                0.50225,                0.93876,                0.92884,                0.95287,                0.97478,                  0.788,                 0.7576,                0.45271,                0.92426,             0.00040551,             0.00040551,             0.00040551
                    101,                0.77797,                0.50832,                0.93686,                0.94772,                 0.9497,                 0.9693,                0.76281,                0.83948,                0.49167,                 0.9437,             0.00040287,             0.00040287,             0.00040287
                    102,                0.80151,                0.52571,                0.94669,                 0.9302,                0.94386,                0.96984,                0.80082,                0.75201,                0.46138,                 0.9242,             0.00040023,             0.00040023,             0.00040023
                    103,                0.79136,                0.51504,                0.93364,                0.93191,                0.94315,                0.97275,                 0.7886,                0.74714,                0.46797,                0.92378,             0.00039759,             0.00039759,             0.00039759
                    104,                0.79411,                0.52109,                0.95149,                0.93799,                0.95564,                0.97305,                0.79573,                 0.7291,                0.45197,                 0.9122,             0.00039494,             0.00039494,             0.00039494
                    105,                0.78302,                0.51743,                0.93907,                0.94044,                0.95332,                 0.9747,                0.80201,                0.74551,                0.46851,                0.92492,              0.0003923,              0.0003923,              0.0003923
                    106,                0.77755,                0.50362,                0.94185,                0.93389,                0.96087,                0.97382,                0.79593,                0.74369,                0.44902,                0.92046,             0.00038966,             0.00038966,             0.00038966
                    107,                0.78312,                0.50767,                0.93267,                0.94959,                0.95751,                0.97464,                0.79145,                0.75916,                0.44294,                0.92539,             0.00038702,             0.00038702,             0.00038702
                    108,                0.77726,                0.50682,                0.93552,                0.92308,                0.94793,                0.97009,                0.79159,                0.74475,                0.45485,                0.92146,             0.00038438,             0.00038438,             0.00038438
                    109,                0.75465,                0.49238,                0.93045,                0.93156,                 0.9369,                0.95686,                0.78311,                0.78075,                0.44905,                 0.9454,             0.00038174,             0.00038174,             0.00038174
                    110,                0.76578,                0.50495,                 0.9385,                0.92348,                0.95294,                0.97103,                0.79404,                0.75486,                0.46364,                0.92031,              0.0003791,              0.0003791,              0.0003791
                    111,                0.76256,                0.50325,                0.94508,                0.90609,                0.93527,                0.96366,                0.78521,                0.76498,                 0.4767,                0.93095,             0.00037645,             0.00037645,             0.00037645
                    112,                0.77279,                0.51777,                0.93862,                0.93629,                0.96204,                  0.976,                0.80218,                0.74488,                0.45665,                0.92771,             0.00037381,             0.00037381,             0.00037381
                    113,                0.77627,                0.50311,                0.93554,                0.91493,                0.93799,                0.96001,                0.79279,                0.75234,                0.46753,                0.92485,             0.00037117,             0.00037117,             0.00037117
                    114,                0.77974,                0.50914,                0.94153,                0.89675,                0.94462,                0.97135,                0.79699,                0.73999,                0.46264,                0.92704,             0.00036853,             0.00036853,             0.00036853
                    115,                0.78509,                 0.5026,                0.94339,                0.90616,                0.95501,                0.97566,                0.79465,                0.75277,                0.47015,                0.92409,             0.00036589,             0.00036589,             0.00036589
                    116,                0.76134,                0.49658,                0.93684,                0.92307,                 0.9487,                0.96485,                0.78529,                0.75903,                0.46004,                0.93083,             0.00036325,             0.00036325,             0.00036325
                    117,                0.75472,                0.49066,                 0.9244,                0.93915,                 0.9479,                0.97538,                 0.7981,                0.75197,                0.44729,                0.92061,             0.00036061,             0.00036061,             0.00036061
                    118,                0.76862,                0.49208,                0.93872,                0.93724,                0.92559,                0.95702,                0.78485,                0.76326,                0.46108,                0.93249,             0.00035797,             0.00035797,             0.00035797
                    119,                0.77162,                0.48722,                0.93894,                0.91394,                0.95671,                0.97173,                0.80291,                0.73014,                0.44281,                0.91639,             0.00035532,             0.00035532,             0.00035532
                    120,                0.75355,                0.49637,                0.93014,                 0.9429,                0.95489,                0.97738,                0.80169,                0.72683,                0.44074,                0.91507,             0.00035268,             0.00035268,             0.00035268
                    121,                0.80362,                0.51595,                0.94653,                0.94293,                0.93683,                0.96847,                0.80241,                0.75157,                0.46386,                0.92104,             0.00035004,             0.00035004,             0.00035004
                    122,                0.76269,                0.51095,                0.94143,                0.92785,                0.95437,                0.97603,                0.80129,                0.74068,                 0.4436,                0.91591,              0.0003474,              0.0003474,              0.0003474
                    123,                0.78218,                0.50151,                0.94317,                0.93009,                0.94722,                0.97166,                0.79574,                 0.7476,                0.44777,                0.92373,             0.00034476,             0.00034476,             0.00034476
                    124,                0.76127,                0.48597,                0.93095,                0.91861,                0.94428,                0.97385,                0.80071,                0.73646,                 0.4444,                0.91718,             0.00034212,             0.00034212,             0.00034212
                    125,                 0.7893,                0.50531,                  0.941,                0.95109,                0.94037,                0.97429,                0.79979,                0.75004,                0.43504,                0.92706,             0.00033948,             0.00033948,             0.00033948
                    126,                0.72696,                0.46272,                0.91728,                0.95406,                 0.9576,                0.97764,                0.80289,                0.75091,                0.43191,                0.92166,             0.00033683,             0.00033683,             0.00033683
                    127,                0.74254,                0.48664,                0.92817,                0.93602,                0.94081,                0.96878,                0.79024,                0.77486,                0.44088,                0.93569,             0.00033419,             0.00033419,             0.00033419
                    128,                0.74055,                0.47973,                0.92222,                0.93476,                0.95064,                0.96994,                0.79311,                0.76176,                0.44929,                0.92482,             0.00033155,             0.00033155,             0.00033155
                    129,                 0.7441,                0.47243,                0.92787,                0.91481,                0.93623,                0.96923,                0.79325,                0.74435,                0.44681,                0.92588,             0.00032891,             0.00032891,             0.00032891
                    130,                0.73952,                 0.4763,                0.92775,                 0.9409,                0.95858,                0.97692,                0.79817,                 0.7607,                0.43623,                0.92305,             0.00032627,             0.00032627,             0.00032627
                    131,                0.76111,                0.50544,                0.94097,                0.93533,                0.94964,                0.97411,                 0.7897,                0.73577,                0.44772,                0.92095,             0.00032363,             0.00032363,             0.00032363
                    132,                0.75887,                0.49244,                0.93282,                0.94071,                0.95125,                0.97526,                0.80007,                0.74766,                0.43167,                0.91843,             0.00032099,             0.00032099,             0.00032099
                    133,                0.75595,                0.48415,                0.93281,                0.92972,                0.94419,                0.96277,                0.79541,                0.71825,                0.44845,                0.91359,             0.00031835,             0.00031835,             0.00031835
                    134,                0.73521,                0.48305,                0.91905,                0.91615,                0.94746,                0.97024,                0.80384,                0.72283,                0.44069,                0.91732,              0.0003157,              0.0003157,              0.0003157
                    135,                0.75628,                0.48202,                0.92967,                0.92736,                0.94214,                0.96381,                0.79431,                0.75601,                0.44289,                0.92417,             0.00031306,             0.00031306,             0.00031306
                    136,                0.72531,                0.47488,                0.91581,                0.93447,                0.95739,                0.97497,                0.80445,                0.72846,                 0.4399,                0.91609,             0.00031042,             0.00031042,             0.00031042
                    137,                0.75804,                0.49234,                 0.9329,                0.89567,                 0.9369,                0.95701,                0.79186,                0.75181,                0.43664,                0.92707,             0.00030778,             0.00030778,             0.00030778
                    138,                0.74974,                 0.4897,                0.93482,                0.92569,                0.94845,                0.97227,                0.79284,                0.74874,                0.43366,                0.92227,             0.00030514,             0.00030514,             0.00030514
                    139,                0.73573,                0.47099,                0.92793,                0.91459,                0.91802,                0.95622,                 0.7911,                0.74897,                0.43883,                0.93136,              0.0003025,              0.0003025,              0.0003025
                    140,                0.76628,                0.47659,                0.93275,                0.92037,                0.93853,                 0.9595,                0.79945,                0.75549,                0.44107,                0.92984,             0.00029986,             0.00029986,             0.00029986
                    141,                 0.7235,                0.47228,                0.91782,                 0.9369,                 0.9538,                0.96915,                0.80272,                0.71544,                0.43211,                0.91627,             0.00029722,             0.00029722,             0.00029722
                    142,                0.73048,                0.46061,                0.91885,                0.91741,                0.94164,                0.97317,                0.80607,                0.71942,                0.42854,                0.91063,             0.00029457,             0.00029457,             0.00029457
                    143,                0.72809,                0.46623,                0.92933,                 0.9302,                0.94602,                0.96761,                0.80796,                0.73862,                0.44037,                 0.9187,             0.00029193,             0.00029193,             0.00029193
                    144,                0.69543,                0.44235,                 0.9104,                0.91521,                 0.9522,                0.96881,                0.80182,                0.72614,                0.43736,                 0.9121,             0.00028929,             0.00028929,             0.00028929
                    145,                0.72875,                0.47018,                0.92503,                0.92747,                0.94977,                0.97403,                  0.811,                0.72567,                0.41546,                0.91322,             0.00028665,             0.00028665,             0.00028665
                    146,                0.72712,                0.46295,                 0.9191,                0.95227,                0.95693,                  0.975,                0.80166,                 0.7641,                0.42904,                0.91772,             0.00028401,             0.00028401,             0.00028401
                    147,                0.75012,                0.47931,                0.92999,                0.93221,                0.95287,                0.97582,                0.80302,                0.75024,                0.42051,                0.91317,             0.00028137,             0.00028137,             0.00028137
                    148,                0.70045,                0.45459,                0.91302,                0.93551,                0.94953,                0.97344,                0.80532,                0.73268,                0.40833,                0.91343,             0.00027873,             0.00027873,             0.00027873
                    149,                0.69854,                0.45551,                0.90696,                0.93137,                0.95072,                 0.9682,                0.80202,                0.73279,                0.42061,                0.92098,             0.00027608,             0.00027608,             0.00027608
                    150,                0.70326,                0.45066,                0.91676,                0.92536,                0.95056,                0.96991,                0.79652,                0.74213,                0.42709,                0.91963,             0.00027344,             0.00027344,             0.00027344
                    151,                0.72449,                0.44799,                0.92108,                0.93947,                0.93615,                0.96547,                0.80244,                0.74012,                0.42194,                0.92024,              0.0002708,              0.0002708,              0.0002708
                    152,                0.73037,                 0.4775,                0.92475,                0.93542,                0.94991,                0.96937,                0.80194,                0.73231,                0.42573,                0.91092,             0.00026816,             0.00026816,             0.00026816
                    153,                 0.7194,                0.45632,                0.92583,                0.95538,                0.94506,                0.97067,                0.80602,                0.72487,                0.40963,                0.91479,             0.00026552,             0.00026552,             0.00026552
                    154,                0.72542,                0.45103,                0.92386,                0.92578,                0.93283,                0.96633,                0.79167,                0.75113,                0.42824,                0.92493,             0.00026288,             0.00026288,             0.00026288
                    155,                0.72795,                0.46663,                0.92943,                0.93606,                0.96109,                0.97503,                0.80198,                 0.7471,                0.42439,                0.91633,             0.00026024,             0.00026024,             0.00026024
                    156,                 0.6949,                0.44045,                0.90697,                0.94416,                0.95484,                0.97333,                0.80345,                0.74384,                0.42149,                0.91883,              0.0002576,              0.0002576,              0.0002576
